account,amount,symbol,memo
bradleyarrow,"0,01",BBH,test1
bradleyarrow,"0,02",BBH,test2
bradleyarrow,"0,03",BBH,test3
bradleyarrow,"0,04",BBH,test4
bradleyarrow,"0,05",BBH,test5
bradleyarrow,"0,06",BBH,test6
bradleyarrow,"0,07",BBH,test7
bradleyarrow,"0,08",BBH,test8
bradleyarrow,"0,09",BBH,test9
bradleyarrow,"0,1",BBH,test10
bradleyarrow,"0,11",BBH,test11
bradleyarrow,"0,12",BBH,test12
bradleyarrow,"0,13",BBH,test13
bradleyarrow,"0,14",BBH,test14
bradleyarrow,"0,15",BBH,test15
bradleyarrow,"0,16",BBH,test16
bradleyarrow,"0,17",BBH,test17
bradleyarrow,"0,18",BBH,test18
bradleyarrow,"0,19",BBH,test19
bradleyarrow,"0,2",BBH,test20
bradleyarrow,"0,21",BBH,test21
bradleyarrow,"0,22",BBH,test22
bradleyarrow,"0,23",BBH,test23
bradleyarrow,"0,24",BBH,test24
bradleyarrow,"0,25",BBH,test25
bradleyarrow,"0,26",BBH,test26
bradleyarrow,"0,27",BBH,test27
bradleyarrow,"0,28",BBH,test28
bradleyarrow,"0,29",BBH,test29
bradleyarrow,"0,3",BBH,test30
bradleyarrow,"0,31",BBH,test31
bradleyarrow,"0,32",BBH,test32
bradleyarrow,"0,33",BBH,test33
bradleyarrow,"0,34",BBH,test34
